word,positive,negative
poor,NA,2
positive,2,NA
poverty,NA,1
powerful,2,NA
pretty,1,NA
proactive,1,NA
progress,2,NA
promise,1,NA
promising,1,NA
promoter,1,NA
protect,1,NA
protection,2,NA
pure,1,NA
rapid,1,NA
ready,2,NA
recession,NA,1
recommend,1,NA
recover,1,NA
recovery,2,NA
refined,1,NA
refuted,NA,1
relief,1,NA
remedy,1,NA
resistance,NA,1
restructuring,1,NA
reward,1,NA
richness,1,NA
risk,NA,15
risks,NA,1
robust,1,NA
rocky,NA,1
romantic,1,NA
safe,2,NA
scar,NA,1
scorching,NA,1
selective,5,NA
sensations,1,NA
severe,NA,2
severity,NA,3
significant,6,NA
skepticism,NA,1
slow,NA,4
smoke,NA,2
solid,1,NA
spiritual,1,NA
stable,1,NA
stark,NA,2
stress,NA,5
stressful,NA,1
stringent,NA,1
stronger,1,NA
struck,NA,1
sturdy,1,NA
successful,1,NA
suffering,NA,1
sufficient,1,NA
suicide,NA,2
super,15,NA
superior,1,NA
support,8,NA
supported,1,NA
supporting,1,NA
suppress,NA,1
survival,1,NA
suspect,NA,1
sustainability,1,NA
sustainable,1,NA
swift,1,NA
symptoms,NA,4
syndrome,NA,1
tank,NA,1
tenderness,NA,1
threat,NA,2
threaten,NA,1
threatening,NA,2
threats,NA,1
top,2,NA
transparent,1,NA
trash,NA,2
trauma,NA,1
trump,1,NA
trusted,1,NA
trusting,1,NA
uncivil,NA,2
unequivocally,1,NA
unnecessary,NA,1
unrivaled,1,NA
variety,1,NA
venom,NA,1
virus,NA,6
volatile,NA,5
vulnerable,NA,1
warm,1,NA
warning,NA,1
waste,NA,7
weaken,NA,1
wealthy,1,NA
wellbeing,2,NA
wild,NA,3
willingness,2,NA
worse,NA,1
worsening,NA,1
worth,1,NA
wound,NA,1
wrath,NA,1
